Region Code,Timestamp (Hour Ending),DUK Demand (MWh),,Timestamp (Hour Ending),Demand (MWh)
CAR,12/2/2020 12 a.m. EST,13422,,12:00 AM,13422
CAR,12/2/2020 1 a.m. EST,13170,,1:00 AM,13170
CAR,12/2/2020 2 a.m. EST,13083,,2:00 AM,13083
CAR,12/2/2020 3 a.m. EST,13137,,3:00 AM,13137
CAR,12/2/2020 4 a.m. EST,13311,,4:00 AM,13311
CAR,12/2/2020 5 a.m. EST,13745,,5:00 AM,13745
CAR,12/2/2020 6 a.m. EST,14609,,6:00 AM,14609
CAR,12/2/2020 7 a.m. EST,15806,,7:00 AM,15806
CAR,12/2/2020 8 a.m. EST,16417,,8:00 AM,16417
CAR,12/2/2020 9 a.m. EST,16117,,9:00 AM,16117
CAR,12/2/2020 10 a.m. EST,15145,,10:00 AM,15145
CAR,12/2/2020 11 a.m. EST,14110,,11:00 AM,14110
CAR,12/2/2020 12 p.m. EST,13286,,12:00 PM,13286
CAR,12/2/2020 1 p.m. EST,12639,,1:00 PM,12639
CAR,12/2/2020 2 p.m. EST,12145,,2:00 PM,12145
CAR,12/2/2020 3 p.m. EST,11854,,3:00 PM,11854
CAR,12/2/2020 4 p.m. EST,11755,,4:00 PM,11755
CAR,12/2/2020 5 p.m. EST,12102,,5:00 PM,12102
CAR,12/2/2020 6 p.m. EST,13236,,6:00 PM,13236
CAR,12/2/2020 7 p.m. EST,13918,,7:00 PM,13918
CAR,12/2/2020 8 p.m. EST,14039,,8:00 PM,14039
CAR,12/2/2020 9 p.m. EST,14039,,9:00 PM,14039
CAR,12/2/2020 10 p.m. EST,13783,,10:00 PM,13783
CAR,12/2/2020 11 p.m. EST,13360,,11:00 PM,13360
CAR,12/3/2020 12 a.m. EST,12942,,12:00 AM,12942
